signals,size,development_sharpe,development_sharpe_standard_error,development_mean_daily_return,development_daily_volatility,evaluation_sharpe,evaluation_sharpe_standard_error
headline/sentiment_non_reuters|llm/finbert|llm/gemma-4-31b,3,0.7989140148240433,1.7229220452869531,0.00021198335280265884,0.004212132143344822,0.2478347385857958,2.575342138889025
headline/sentiment_non_reuters|llm/finbert|llm/vader,3,0.9348531591211723,1.723324336052303,0.00026949823390107355,0.004576282159715763,0.6525477172538466,2.576272854857364
headline/sentiment_non_reuters|llm/gemma-4-31b|llm/vader,3,0.8104652430427111,1.7229537802516393,0.00022008976849420602,0.004310877969493091,0.08003774024816199,2.5752015915975655
headline/sentiment_reuters|llm/finbert|llm/gemma-4-31b,3,0.31053761144435194,1.7219968463592794,6.617515187273773e-05,0.0033828365075559094,-0.12104639639033359,2.57522265830927
headline/sentiment_reuters|llm/finbert|llm/vader,3,0.5128565333650509,1.7222813560948325,0.00012369003297115248,0.0038285919621826553,0.41176287746281987,2.5756183434051243
headline/sentiment_reuters|llm/gemma-4-31b|llm/vader,3,0.3326650493466382,1.7220211552213132,7.42815675642848e-05,0.003544656497407167,-0.31077652939805217,2.575431956746655
llm/finbert|llm/gemma-4-31b|llm/vader,3,0.6567314668141515,1.7225686978864612,0.00017579510864583015,0.004249317987774162,0.439373275928933,2.575678369702366
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters,4,0.5311374886463174,1.7223139480017702,0.00013329842444538404,0.003983990836023218,-0.4670086890377146,2.5757423485780517
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters|llm/finbert,4,0.7523576233195975,1.7227987523612425,0.00020943358025654298,0.004418982295412859,0.13328252107944508,2.5752306085557537
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters|llm/gemma-4-31b,4,0.6355235871415585,1.7225219032668921,0.00017237723120139216,0.004305746896036274,-0.3077018832039061,2.575427099094254
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters|llm/vader,4,0.7609205769389767,1.7228208744491404,0.00021551339202520334,0.0044960921556078766,0.00886369598832102,2.5751854265508385
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_reuters|llm/finbert,4,0.4351039854019619,1.7221554816021774,0.0001000774295591023,0.003651264975925572,-0.15323745475406314,2.5752452149913894
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_reuters|llm/gemma-4-31b,4,0.2830438720472832,1.7219689719031175,6.302108050395145e-05,0.003534535586204445,-0.685337336104144,2.576384878652793
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_reuters|llm/vader,4,0.44757714092265455,1.7221742845755743,0.00010615724132776252,0.003765147520844422,-0.2922112715462264,2.575403359892895
headline/actionable_sentiment_all|headline/sentiment_all|llm/finbert|llm/gemma-4-31b,4,0.5508832705587234,1.7223504329801615,0.00013915623631511058,0.004009990657005488,-0.04310554355074603,2.5751899727773915
