date,split,split_date,signal,daily_gross_return,daily_net_return,turnover,active_stock_count
2025-12-31,development,2026-05-02,headline/sentiment_non_reuters,0.004999850419297198,0.00439378981323659,0.6060606060606061,33
2025-12-31,development,2026-05-02,headline/sentiment_reuters,0.0053411887055329,0.005068461432805627,0.2727272727272727,13
2025-12-31,development,2026-05-02,llm/finbert,0.0054047300776153,0.0047380634109486335,0.6666666666666667,33
2025-12-31,development,2026-05-02,llm/gemma-4-31b,0.0005810350272861556,-0.0003583589121077842,0.9393939393939394,33
2025-12-31,development,2026-05-02,llm/vader,0.004586165123205852,0.0037679833050240337,0.8181818181818182,32
2026-01-02,development,2026-05-02,headline/actionable_sentiment_all,0.0007039189127869995,-0.00020517199630390974,0.9090909090909092,26
2026-01-02,development,2026-05-02,headline/sentiment_all,-0.0011020962421776452,-0.0018293689694503727,0.7272727272727273,29
2026-01-02,development,2026-05-02,headline/sentiment_non_reuters,-1.239213681209444e-05,-0.000830573954993913,0.8181818181818182,28
2026-01-02,development,2026-05-02,headline/sentiment_reuters,-0.0001489384466324406,-0.0006034839011778953,0.4545454545454546,2
2026-01-02,development,2026-05-02,llm/finbert,0.002297505659679687,0.0016308389930130205,0.6666666666666667,33
2026-01-02,development,2026-05-02,llm/gemma-4-31b,0.005061666306851847,0.00439499964018518,0.6666666666666667,31
2026-01-02,development,2026-05-02,llm/vader,0.004512150961927276,0.004118211567987882,0.3939393939393939,25
2026-01-05,development,2026-05-02,headline/actionable_sentiment_all,0.0017760499926440345,0.0011093833259773675,0.6666666666666667,18
2026-01-05,development,2026-05-02,headline/sentiment_all,0.0010502091112310906,0.00017142123244321168,0.8787878787878788,22
2026-01-05,development,2026-05-02,headline/sentiment_non_reuters,0.0016886499714461457,0.0008704681532643274,0.8181818181818182,21
2026-01-05,development,2026-05-02,headline/sentiment_reuters,-0.0016802888229309199,-0.0018015009441430412,0.12121212121212122,2
2026-01-05,development,2026-05-02,llm/finbert,-0.0030550130997244497,-0.004024710069421419,0.9696969696969697,23
2026-01-05,development,2026-05-02,llm/gemma-4-31b,-0.004367206915069133,-0.005336903884766102,0.9696969696969697,23
2026-01-05,development,2026-05-02,llm/vader,0.0010461426236646847,0.000379475956998018,0.6666666666666667,21
2026-01-06,development,2026-05-02,headline/actionable_sentiment_all,-0.004995225998872605,-0.005813407817054424,0.8181818181818182,33
2026-01-06,development,2026-05-02,headline/sentiment_all,-0.006506397319195004,-0.0071427609555586415,0.6363636363636364,33
2026-01-06,development,2026-05-02,headline/sentiment_non_reuters,-0.006506397319195004,-0.007173063985861671,0.6666666666666667,33
2026-01-06,development,2026-05-02,headline/sentiment_reuters,-0.0018543106913475236,-0.002308856145892978,0.4545454545454546,15
2026-01-06,development,2026-05-02,llm/finbert,-0.005340880687969324,-0.006249971597060234,0.9090909090909092,33
2026-01-06,development,2026-05-02,llm/gemma-4-31b,-0.0047537219084391865,-0.005602206756924036,0.8484848484848485,33
2026-01-06,development,2026-05-02,llm/vader,-0.006359903511841902,-0.0072083883603267515,0.8484848484848485,33
2026-01-07,development,2026-05-02,headline/actionable_sentiment_all,-0.002994093219376459,-0.003721365946649186,0.7272727272727273,33
2026-01-07,development,2026-05-02,headline/sentiment_all,0.0006369688594355787,0.00033393855640527557,0.30303030303030304,33
2026-01-07,development,2026-05-02,headline/sentiment_non_reuters,0.0006369688594355787,0.00033393855640527557,0.30303030303030304,33
2026-01-07,development,2026-05-02,headline/sentiment_reuters,-0.0032106085196815996,-0.0036651539742270545,0.4545454545454546,18
2026-01-07,development,2026-05-02,llm/finbert,-0.0008051798318954711,-0.0014112404379560772,0.6060606060606061,33
2026-01-07,development,2026-05-02,llm/gemma-4-31b,-0.004022627422298776,-0.004749900149571504,0.7272727272727273,33
2026-01-07,development,2026-05-02,llm/vader,-0.0009135294082817035,-0.0013377718325241277,0.42424242424242425,33
2026-01-08,development,2026-05-02,headline/actionable_sentiment_all,0.0036172886552931108,0.0029203189583234136,0.696969696969697,32
2026-01-08,development,2026-05-02,headline/sentiment_all,0.0020934089503938194,0.0015479544049392738,0.5454545454545454,33
2026-01-08,development,2026-05-02,headline/sentiment_non_reuters,0.0020934089503938194,0.0015479544049392738,0.5454545454545454,33
2026-01-08,development,2026-05-02,headline/sentiment_reuters,0.004841599969406578,0.004387054514861123,0.4545454545454546,17
2026-01-08,development,2026-05-02,llm/finbert,0.0019279616215729413,0.001503719197330517,0.42424242424242425,33
