session_date,n_names,intercept,r_squared,condition_number,beta_mean_new,beta_mean_known,beta_negshare_new,beta_negshare_known,beta_log1p_n,contrast_mean,contrast_negshare
2013-02-20,21,0.013280370344600976,0.14245173018962975,8.790679965621322,0.04936478923239673,0.3857280985844661,-0.24101862802062304,0.14614019056379077,0.10200999516672818,-0.3363633093520694,-0.3871588185844138
2013-02-21,20,0.07807969447203562,0.3025883848032185,10.856349532278518,-0.8269519456184421,-0.11442948174501832,-0.605151758021489,-0.28423747412690853,-0.2924171193695673,-0.7125224638734238,-0.3209142838945805
2013-02-22,18,0.005460215499481607,0.18483848351484022,10.625678337499936,0.27643561504576114,0.30106700642614515,-0.17055441722240744,0.33528722126211424,0.06119681650704881,-0.024631391380384005,-0.5058416384845217
2013-02-25,29,0.013928425298604295,0.18445359342019352,9.379487428383452,-0.32185547050102603,0.372978766951856,-0.505563748330411,0.5758090508882954,0.07078273367224258,-0.694834237452882,-1.0813727992187063
2013-02-26,35,0.007237874522686313,0.13942328642961355,8.040278655209102,0.2840977314734064,0.19264025510064892,-0.07673020144035536,0.10179073253090619,-0.008449734252647034,0.09145747637275747,-0.17852093397126156
2013-02-27,23,0.04292582431726222,0.14520634388693532,11.10926034645636,-0.16160121324742127,-0.029825999099587087,-0.3238234428200361,-0.465079580770432,0.0057423173434138115,-0.1317752141478342,0.14125613795039588
2013-02-28,11,0.0943687700095265,0.651108552688356,9.525712497861857,0.6444366487545833,-0.8124760234145497,0.5450243764130043,-0.7379703425490929,-0.7151275994135262,1.456912672169133,1.2829947189620972
2013-03-01,13,0.05138614662325856,0.20024199949594357,12.390615075729633,-0.3976058653620541,0.4286719578111996,-0.6481316428996869,0.20775140436536527,0.0732743338804528,-0.8262778231732537,-0.8558830472650523
2013-03-04,20,0.039849028437194386,0.12216464004341188,10.034794024166931,-0.5120843035209534,0.09403743772792672,-0.5996514368701432,0.08675428548247832,0.3369828796929155,-0.6061217412488801,-0.6864057223526215
2013-03-05,28,-0.020521204236753247,0.48066359864724695,10.253410127926676,0.27266781264714485,0.23168501800783572,1.2663681329205076,0.17379864900200076,0.20466782468069247,0.04098279463930912,1.092569483918507
2013-03-06,24,0.015245823613452666,0.33476397693037574,12.180238196854317,-0.1856154342702519,-0.1976173584324118,0.3282776220359466,0.05564948925050469,0.26750614797048505,0.012001924162159894,0.27262813278544196
2013-03-08,16,0.03269931078312798,0.6408960479686354,11.18427930834552,-0.6287236938657518,1.045681007677021,-0.6103333791340216,0.5246366427604304,-0.3776385224977745,-1.6744047015427728,-1.134970021894452
2013-03-11,16,0.03770142213933532,0.37369315224727206,9.41613347519422,-0.04913883990577224,0.41323662923293086,-0.6978521089829144,0.5971912325552473,-0.46988242135822134,-0.4623754691387031,-1.2950433415381617
2013-03-12,34,0.0020814054886485562,0.0719244788962966,9.88017595433531,0.028083442273753364,0.20465648634631306,0.24837130243424432,0.13490206862373982,0.24245112709384894,-0.1765730440725597,0.1134692338105045
2013-03-13,26,0.030052281607925346,0.31386223994686024,10.52286743135787,-0.39671434929627325,0.026517818601133322,-1.2693881238089824,0.6408768519982085,0.43598915889379347,-0.4232321678974066,-1.9102649758071908
2013-03-14,18,0.05781540965818953,0.40952483093735104,14.416355310370804,0.3131508777658036,-0.6930945174947207,-0.38451271199095755,-0.4196438844695233,0.10274548849457492,1.0062453952605244,0.03513117247856573
2013-03-15,23,0.028448778599252614,0.5490580217742169,11.404889319841645,-0.6319115001336028,-0.09930221050874016,0.27947464678727857,0.07974517892369963,0.06335006936574568,-0.5326092896248626,0.19972946786357892
2013-03-18,19,-0.0012705392262701686,0.2218218895601035,13.666094886652962,-0.24275143716419664,0.18647541869923503,-0.3305866052775494,1.185985455693021,0.2491576586477551,-0.4292268558634317,-1.5165720609705704
2013-03-19,23,-0.016464227602221094,0.2795007050639281,8.61321005853729,0.34549856035010185,0.1535270841944826,0.11982147947267069,1.0205078839645256,0.1179994617203888,0.19197147615561924,-0.900686404491855
2013-03-20,18,0.025546914125657842,0.3017760274551493,8.681478171940979,0.2861802432108461,0.09350286274348432,-0.3013162246090175,-0.12423039956851284,0.12617460969951805,0.1926773804673618,-0.17708582504050469
